Reporter Countries,Partner Countries,export_qty_t,partner_total_from_reporters,dependency_pct
Greece,Egypt,565.0500000000001,1668389.6199999999,0.0
Portugal,Egypt,5.0,1668389.6199999999,0.0
Spain,Egypt,3.15,1668389.6199999999,0.0
Uruguay,Egypt,72.0,1668389.6199999999,0.0
United States of America,El Salvador,151529.3,221247.43,68.5
Thailand,El Salvador,44985.62,221247.43,20.3
Uruguay,El Salvador,9464.619999999999,221247.43,4.3
Paraguay,El Salvador,8788.96,221247.43,4.0
Argentina,El Salvador,2662.0,221247.43,1.2
France,El Salvador,2453.0,221247.43,1.1
Guyana,El Salvador,945.77,221247.43,0.4
India,El Salvador,332.52,221247.43,0.2
Italy,El Salvador,37.63,221247.43,0.0
Pakistan,El Salvador,40.0,221247.43,0.0
Spain,El Salvador,8.01,221247.43,0.0
Thailand,Equatorial Guinea,240169.8,334332.86,71.8
India,Equatorial Guinea,78801.04,334332.86,23.6
Pakistan,Equatorial Guinea,8800.0,334332.86,2.6
United States of America,Equatorial Guinea,2858.55,334332.86,0.9
Portugal,Equatorial Guinea,1437.03,334332.86,0.4
Viet Nam,Equatorial Guinea,850.4,334332.86,0.3
Italy,Equatorial Guinea,546.0,334332.86,0.2
Spain,Equatorial Guinea,806.58,334332.86,0.2
Argentina,Equatorial Guinea,2.0,334332.86,0.0
Benin,Equatorial Guinea,2.89,334332.86,0.0
France,Equatorial Guinea,14.19,334332.86,0.0
TÃ¼rkiye,Equatorial Guinea,44.38,334332.86,0.0
India,Eritrea,6631.0,7503.33,88.4
Pakistan,Eritrea,388.0,7503.33,5.2
Thailand,Eritrea,335.0,7503.33,4.5
Italy,Eritrea,149.0,7503.33,2.0
France,Eritrea,0.2,7503.33,0.0
TÃ¼rkiye,Eritrea,0.13,7503.33,0.0
Italy,Estonia,7904.26,23119.84,34.2
Greece,Estonia,3958.63,23119.84,17.1
India,Estonia,3802.7200000000003,23119.84,16.4
Pakistan,Estonia,3605.2799999999997,23119.84,15.6
Portugal,Estonia,1381.6000000000001,23119.84,6.0
Thailand,Estonia,727.82,23119.84,3.1
United States of America,Estonia,511.63,23119.84,2.2
Spain,Estonia,397.52000000000004,23119.84,1.7
France,Estonia,308.62,23119.84,1.3
Viet Nam,Estonia,180.01,23119.84,0.8
Guyana,Estonia,150.0,23119.84,0.6
TÃ¼rkiye,Estonia,75.36,23119.84,0.3
Egypt,Estonia,50.0,23119.84,0.2
Argentina,Estonia,15.0,23119.84,0.1
Bulgaria,Estonia,24.2,23119.84,0.1
Russian Federation,Estonia,27.19,23119.84,0.1
India,Eswatini,20955.4,31603.5,66.3
Thailand,Eswatini,6740.0,31603.5,21.3
Pakistan,Eswatini,2967.0,31603.5,9.4
Guyana,Eswatini,694.0,31603.5,2.2
United States of America,Eswatini,147.1,31603.5,0.5
United Republic of Tanzania,Eswatini,100.0,31603.5,0.3
India,Ethiopia,626058.24,673532.22,93.0
Thailand,Ethiopia,20407.2,673532.22,3.0
United States of America,Ethiopia,17829.8,673532.22,2.6
Pakistan,Ethiopia,7745.0,673532.22,1.1
Italy,Ethiopia,1069.0,673532.22,0.2
Egypt,Ethiopia,132.0,673532.22,0.0
Greece,Ethiopia,7.0,673532.22,0.0
Portugal,Ethiopia,63.07,673532.22,0.0
TÃ¼rkiye,Ethiopia,170.91,673532.22,0.0
Viet Nam,Ethiopia,50.0,673532.22,0.0
Thailand,Faroe Islands,26.419999999999998,57.84,45.7
United States of America,Faroe Islands,18.0,57.84,31.1
Spain,Faroe Islands,13.0,57.84,22.5
TÃ¼rkiye,Faroe Islands,0.42000000000000004,57.84,0.7
Thailand,Fiji,343984.24,563203.63,61.1
Viet Nam,Fiji,156007.08,563203.63,27.7
India,Fiji,36220.130000000005,563203.63,6.4
Australia,Fiji,15637.0,563203.63,2.8
United States of America,Fiji,9519.43,563203.63,1.7
Pakistan,Fiji,1834.0,563203.63,0.3
Italy,Fiji,1.75,563203.63,0.0
Italy,Finland,245990.27,468963.91,52.5
Spain,Finland,146900.11,468963.91,31.3
Thailand,Finland,26076.73,468963.91,5.6
France,Finland,21013.79,468963.91,4.5
Greece,Finland,12837.39,468963.91,2.7
India,Finland,5040.139999999999,468963.91,1.1
Pakistan,Finland,3529.74,468963.91,0.8
United States of America,Finland,3216.32,468963.91,0.7
Portugal,Finland,2177.4,468963.91,0.5
Viet Nam,Finland,1915.79,468963.91,0.4
Bulgaria,Finland,2.1,468963.91,0.0
Egypt,Finland,137.0,468963.91,0.0
TÃ¼rkiye,Finland,7.130000000000001,468963.91,0.0
Uruguay,Finland,120.0,468963.91,0.0
Italy,France,3020776.08,6287494.64,48.0
Thailand,France,1686968.17,6287494.64,26.8
India,France,476329.58999999997,6287494.64,7.6
Pakistan,France,369876.95,6287494.64,5.9
United States of America,France,242186.23,6287494.64,3.9
Spain,France,241339.03,6287494.64,3.8
Guyana,France,60171.8,6287494.64,1.0
Uruguay,France,46623.19,6287494.64,0.7
Viet Nam,France,39509.58,6287494.64,0.6
Portugal,France,30083.15,6287494.64,0.5
Suriname,France,32869.76,6287494.64,0.5
Greece,France,21202.44,6287494.64,0.3
Paraguay,France,15376.21,6287494.64,0.2
Bulgaria,France,451.99,6287494.64,0.0
Egypt,France,2584.25,6287494.64,0.0
France,France,14.0,6287494.64,0.0
Niger,France,125.0,6287494.64,0.0
TÃ¼rkiye,France,1007.21,6287494.64,0.0
United Republic of Tanzania,France,0.01,6287494.64,0.0
Thailand,French Polynesia,98971.98,101395.23999999999,97.6
United States of America,French Polynesia,1700.64,101395.23999999999,1.7
France,French Polynesia,302.87,101395.23999999999,0.3
Greece,French Polynesia,69.0,101395.23999999999,0.1
India,French Polynesia,140.0,101395.23999999999,0.1
Italy,French Polynesia,100.75,101395.23999999999,0.1
Paraguay,French Polynesia,100.0,101395.23999999999,0.1
Australia,French Polynesia,9.0,101395.23999999999,0.0
Spain,French Polynesia,1.0,101395.23999999999,0.0
Thailand,Gabon,943161.62,1148974.78,82.1
India,Gabon,94535.59,1148974.78,8.2
Viet Nam,Gabon,90245.39,1148974.78,7.9
Pakistan,Gabon,18851.74,1148974.78,1.6
Argentina,Gabon,999.0,1148974.78,0.1
Portugal,Gabon,615.27,1148974.78,0.1
Egypt,Gabon,180.0,1148974.78,0.0
France,Gabon,223.37,1148974.78,0.0
Niger,Gabon,127.0,1148974.78,0.0
Spain,Gabon,1.0,1148974.78,0.0
TÃ¼rkiye,Gabon,34.8,1148974.78,0.0
Pakistan,Gambia,245144.57,500474.26,49.0
India,Gambia,203913.22,500474.26,40.7
Thailand,Gambia,24628.53,500474.26,4.9
United States of America,Gambia,8755.15,500474.26,1.7
Egypt,Gambia,6283.0,500474.26,1.3
Paraguay,Gambia,3670.08,500474.26,0.7
Italy,Gambia,2763.6,500474.26,0.6
Uruguay,Gambia,2700.0,500474.26,0.5
Guyana,Gambia,1351.0,500474.26,0.3
Viet Nam,Gambia,841.0,500474.26,0.2
TÃ¼rkiye,Gambia,305.41,500474.26,0.1
Argentina,Gambia,50.0,500474.26,0.0
France,Gambia,20.68,500474.26,0.0
Spain,Gambia,45.22,500474.26,0.0
Suriname,Gambia,2.8,500474.26,0.0
Thailand,Georgia,241410.66,615037.22,39.3
India,Georgia,194852.08,615037.22,31.7
Pakistan,Georgia,111838.93,615037.22,18.2
Egypt,Georgia,23917.01,615037.22,3.9
Uruguay,Georgia,11318.0,615037.22,1.8
Viet Nam,Georgia,8613.23,615037.22,1.4
Russian Federation,Georgia,8301.08,615037.22,1.3
United States of America,Georgia,4240.51,615037.22,0.7
TÃ¼rkiye,Georgia,2355.45,615037.22,0.4
Argentina,Georgia,1598.0,615037.22,0.3
Greece,Georgia,1628.85,615037.22,0.3
Italy,Georgia,2094.45,615037.22,0.3
Spain,Georgia,1874.2,615037.22,0.3
Kazakhstan,Georgia,859.2,615037.22,0.1
Bulgaria,Georgia,4.57,615037.22,0.0
France,Georgia,106.23,615037.22,0.0
Guyana,Georgia,24.77,615037.22,0.0
Italy,Germany,2766219.49,5172070.83,53.5
United States of America,Germany,480703.52,5172070.83,9.3
Spain,Germany,387401.14,5172070.83,7.5
Thailand,Germany,342289.0,5172070.83,6.6
India,Germany,313108.49,5172070.83,6.1
Pakistan,Germany,259237.75,5172070.83,5.0
Uruguay,Germany,191770.25,5172070.83,3.7
France,Germany,178107.36,5172070.83,3.4
Viet Nam,Germany,81480.51,5172070.83,1.6
Greece,Germany,66328.66,5172070.83,1.3
Guyana,Germany,38923.99,5172070.83,0.8
Egypt,Germany,18857.0,5172070.83,0.4
Argentina,Germany,13593.0,5172070.83,0.3
Paraguay,Germany,16207.98,5172070.83,0.3
Portugal,Germany,12123.039999999999,5172070.83,0.2
TÃ¼rkiye,Germany,4440.19,5172070.83,0.1
Bulgaria,Germany,743.6,5172070.83,0.0
Russian Federation,Germany,386.76,5172070.83,0.0
Suriname,Germany,149.1,5172070.83,0.0
Viet Nam,Ghana,5050668.15,10575376.46,47.8
Thailand,Ghana,2489890.35,10575376.46,23.5
United States of America,Ghana,1312172.83,10575376.46,12.4
India,Ghana,1172135.46,10575376.46,11.1
Pakistan,Ghana,507247.19,10575376.46,4.8
Uruguay,Ghana,26334.0,10575376.46,0.2
Egypt,Ghana,14957.0,10575376.46,0.1
Benin,Ghana,362.15,10575376.46,0.0
France,Ghana,13.37,10575376.46,0.0
Greece,Ghana,76.0,10575376.46,0.0
Guyana,Ghana,116.7,10575376.46,0.0
Italy,Ghana,456.64,10575376.46,0.0
Niger,Ghana,30.0,10575376.46,0.0
Portugal,Ghana,725.5,10575376.46,0.0
Spain,Ghana,121.01,10575376.46,0.0
Suriname,Ghana,55.019999999999996,10575376.46,0.0
TÃ¼rkiye,Ghana,15.09,10575376.46,0.0
Italy,Greece,165914.37,379527.05,43.7
Pakistan,Greece,73775.39,379527.05,19.4
India,Greece,34813.35,379527.05,9.2
Egypt,Greece,29823.0,379527.05,7.9
Spain,Greece,23482.09,379527.05,6.2
Thailand,Greece,21342.78,379527.05,5.6
Guyana,Greece,7933.950000000001,379527.05,2.1
Bulgaria,Greece,7179.66,379527.05,1.9
France,Greece,4294.62,379527.05,1.1
Viet Nam,Greece,3352.25,379527.05,0.9
Paraguay,Greece,3029.05,379527.05,0.8
United States of America,Greece,2007.51,379527.05,0.5
Uruguay,Greece,1374.0,379527.05,0.4
Argentina,Greece,372.0,379527.05,0.1
Portugal,Greece,297.05,379527.05,0.1
TÃ¼rkiye,Greece,373.78,379527.05,0.1
Russian Federation,Greece,12.2,379527.05,0.0
Suriname,Greece,150.0,379527.05,0.0
Guyana,Grenada,33108.72,36467.75,90.8
United States of America,Grenada,2446.2999999999997,36467.75,6.7
Uruguay,Grenada,619.0,36467.75,1.7
India,Grenada,269.6,36467.75,0.7
Argentina,Grenada,24.0,36467.75,0.1
France,Grenada,0.13,36467.75,0.0
United States of America,Guatemala,196653.46,260165.37,75.6
Paraguay,Guatemala,25073.75,260165.37,9.6
Uruguay,Guatemala,18968.27,260165.37,7.3
Thailand,Guatemala,8250.91,260165.37,3.2
Guyana,Guatemala,4359.32,260165.37,1.7
Italy,Guatemala,3199.11,260165.37,1.2
India,Guatemala,2008.6399999999999,260165.37,0.8
Argentina,Guatemala,1585.0,260165.37,0.6
Spain,Guatemala,66.91,260165.37,0.0
India,Guinea,7288458.63,8816495.74,82.7
Pakistan,Guinea,835670.6,8816495.74,9.5
Thailand,Guinea,394651.21,8816495.74,4.5
United States of America,Guinea,158473.08,8816495.74,1.8
Viet Nam,Guinea,120758.0,8816495.74,1.4
Egypt,Guinea,11466.0,8816495.74,0.1
France,Guinea,33.6,8816495.74,0.0
Italy,Guinea,4053.0,8816495.74,0.0
Paraguay,Guinea,26.0,8816495.74,0.0
Portugal,Guinea,69.78,8816495.74,0.0
Spain,Guinea,32.42,8816495.74,0.0
TÃ¼rkiye,Guinea,53.42,8816495.74,0.0
Uruguay,Guinea,2750.0,8816495.74,0.0
Pakistan,Guinea-Bissau,225771.29,361155.25,62.5
India,Guinea-Bissau,83465.35,361155.25,23.1
United States of America,Guinea-Bissau,22721.49,361155.25,6.3
Thailand,Guinea-Bissau,14048.74,361155.25,3.9
Viet Nam,Guinea-Bissau,7112.5,361155.25,2.0
Italy,Guinea-Bissau,3283.0,361155.25,0.9
Uruguay,Guinea-Bissau,3002.0,361155.25,0.8
Paraguay,Guinea-Bissau,1496.0,361155.25,0.4
Portugal,Guinea-Bissau,244.85,361155.25,0.1
Spain,Guinea-Bissau,4.21,361155.25,0.0
TÃ¼rkiye,Guinea-Bissau,5.82,361155.25,0.0
Suriname,Guyana,6192.0,8835.19,70.1
United States of America,Guyana,1321.4,8835.19,15.0
Pakistan,Guyana,732.36,8835.19,8.3
India,Guyana,343.32,8835.19,3.9
Thailand,Guyana,246.0,8835.19,2.8
France,Guyana,0.11,8835.19,0.0
United States of America,Haiti,8534062.51,9665101.79,88.3
Pakistan,Haiti,339652.7,9665101.79,3.5
Guyana,Haiti,172211.47,9665101.79,1.8
Viet Nam,Haiti,171061.7,9665101.79,1.8
Uruguay,Haiti,165575.0,9665101.79,1.7
Argentina,Haiti,79808.0,9665101.79,0.8
India,Haiti,80271.53,9665101.79,0.8
Thailand,Haiti,53611.66,9665101.79,0.6
Suriname,Haiti,24907.0,9665101.79,0.3
France,Haiti,22515.8,9665101.79,0.2
Italy,Haiti,11805.0,9665101.79,0.1
Greece,Haiti,4421.0,9665101.79,0.0
Niger,Haiti,72.0,9665101.79,0.0
Paraguay,Haiti,3386.34,9665101.79,0.0
Spain,Haiti,1738.73,9665101.79,0.0
TÃ¼rkiye,Haiti,1.35,9665101.79,0.0
United States of America,Honduras,247154.1,337457.67,73.2
Viet Nam,Honduras,51300.0,337457.67,15.2
Uruguay,Honduras,11382.38,337457.67,3.4
Argentina,Honduras,9736.35,337457.67,2.9
Paraguay,Honduras,7772.5,337457.67,2.3
Pakistan,Honduras,6620.0,337457.67,2.0
Guyana,Honduras,1653.53,337457.67,0.5
India,Honduras,1568.89,337457.67,0.5
TÃ¼rkiye,Honduras,261.34,337457.67,0.1
Bulgaria,Honduras,1.0,337457.67,0.0
Spain,Honduras,4.58,337457.67,0.0
Thailand,Honduras,3.0,337457.67,0.0
Italy,Hungary,580361.03,803819.53,72.2
Greece,Hungary,147764.83,803819.53,18.4
Viet Nam,Hungary,20529.989999999998,803819.53,2.6
Thailand,Hungary,19659.15,803819.53,2.4
Bulgaria,Hungary,10183.92,803819.53,1.3
Egypt,Hungary,6403.0,803819.53,0.8
Spain,Hungary,5344.61,803819.53,0.7
Pakistan,Hungary,4924.0,803819.53,0.6
France,Hungary,3870.85,803819.53,0.5
Guyana,Hungary,2335.94,803819.53,0.3
India,Hungary,2152.19,803819.53,0.3
Kazakhstan,Hungary,0.21,803819.53,0.0
Portugal,Hungary,182.59,803819.53,0.0
TÃ¼rkiye,Hungary,68.22,803819.53,0.0
United States of America,Hungary,39.0,803819.53,0.0
Thailand,Iceland,12844.09,22782.21,56.4
United States of America,Iceland,4804.44,22782.21,21.1
Viet Nam,Iceland,3747.23,22782.21,16.4
India,Iceland,468.01,22782.21,2.1
Guyana,Iceland,354.0,22782.21,1.6
Pakistan,Iceland,317.0,22782.21,1.4
Italy,Iceland,220.82,22782.21,1.0
TÃ¼rkiye,Iceland,19.14,22782.21,0.1
Bulgaria,Iceland,0.26,22782.21,0.0
France,Iceland,0.44,22782.21,0.0
Greece,Iceland,3.5999999999999996,22782.21,0.0
Portugal,Iceland,0.01,22782.21,0.0
Spain,Iceland,3.17,22782.21,0.0
Niger,India,106189.23000000001,269153.33,39.5
Pakistan,India,93462.0,269153.33,34.7
United States of America,India,31586.25,269153.33,11.7
Thailand,India,21175.87,269153.33,7.9
Spain,India,6149.94,269153.33,2.3
Italy,India,3037.16,269153.33,1.1
Viet Nam,India,2981.85,269153.33,1.1
Benin,India,1575.0,269153.33,0.6
TÃ¼rkiye,India,1048.49,269153.33,0.4
Egypt,India,587.98,269153.33,0.2
France,India,490.84000000000003,269153.33,0.2
United Republic of Tanzania,India,448.53999999999996,269153.33,0.2
Portugal,India,258.85,269153.33,0.1
Australia,India,2.0,269153.33,0.0
Greece,India,48.0,269153.33,0.0
Russian Federation,India,103.72999999999999,269153.33,0.0
Suriname,India,7.6,269153.33,0.0
Thailand,Indonesia,7326018.4,15080073.82,48.6
Viet Nam,Indonesia,4444903.29,15080073.82,29.5
Pakistan,Indonesia,1584772.74,15080073.82,10.5
India,Indonesia,1391414.03,15080073.82,9.2
United States of America,Indonesia,318175.67,15080073.82,2.1
Italy,Indonesia,9995.16,15080073.82,0.1
Australia,Indonesia,190.0,15080073.82,0.0
Bulgaria,Indonesia,7.0,15080073.82,0.0
Niger,Indonesia,4423.2,15080073.82,0.0
Russian Federation,Indonesia,167.17000000000002,15080073.82,0.0
TÃ¼rkiye,Indonesia,7.16,15080073.82,0.0
India,Iran (Islamic Republic of),14968880.67,24280247.62,61.7
Thailand,Iran (Islamic Republic of),4761592.18,24280247.62,19.6
Pakistan,Iran (Islamic Republic of),2508039.85,24280247.62,10.3
Uruguay,Iran (Islamic Republic of),1447369.0,24280247.62,6.0
Argentina,Iran (Islamic Republic of),358974.0,24280247.62,1.5
United States of America,Iran (Islamic Republic of),232385.5,24280247.62,1.0
Egypt,Iran (Islamic Republic of),1082.0,24280247.62,0.0
Italy,Iran (Islamic Republic of),1505.92,24280247.62,0.0
Kazakhstan,Iran (Islamic Republic of),89.5,24280247.62,0.0
Paraguay,Iran (Islamic Republic of),45.73,24280247.62,0.0
Portugal,Iran (Islamic Republic of),0.2,24280247.62,0.0
TÃ¼rkiye,Iran (Islamic Republic of),283.07,24280247.62,0.0
Thailand,Iraq,10593992.25,25057493.41,42.3
India,Iraq,7169126.41,25057493.41,28.6
United States of America,Iraq,2687690.45,25057493.41,10.7
Uruguay,Iraq,2075589.87,25057493.41,8.3
Argentina,Iraq,970606.95,25057493.41,3.9
Viet Nam,Iraq,727853.01,25057493.41,2.9
Pakistan,Iraq,500993.41,25057493.41,2.0
TÃ¼rkiye,Iraq,258699.32,25057493.41,1.0
Paraguay,Iraq,62918.5,25057493.41,0.3
Bulgaria,Iraq,23.5,25057493.41,0.0
Egypt,Iraq,910.75,25057493.41,0.0
France,Iraq,0.65,25057493.41,0.0
Greece,Iraq,123.0,25057493.41,0.0
Italy,Iraq,1150.6200000000001,25057493.41,0.0
Kazakhstan,Iraq,4240.0,25057493.41,0.0
Portugal,Iraq,692.3,25057493.41,0.0
Russian Federation,Iraq,1768.04,25057493.41,0.0
Spain,Iraq,1091.72,25057493.41,0.0
United Republic of Tanzania,Iraq,22.66,25057493.41,0.0
Spain,Ireland,71747.5,314421.87,22.8
France,Ireland,55340.2,314421.87,17.6
Italy,Ireland,43921.45,314421.87,14.0
Thailand,Ireland,41224.03,314421.87,13.1
Pakistan,Ireland,35818.08,314421.87,11.4
India,Ireland,24748.83,314421.87,7.9
Viet Nam,Ireland,19843.36,314421.87,6.3
United States of America,Ireland,16101.0,314421.87,5.1
Portugal,Ireland,4119.25,314421.87,1.3
Egypt,Ireland,1087.0,314421.87,0.3
Greece,Ireland,412.80999999999995,314421.87,0.1
Bulgaria,Ireland,3.1,314421.87,0.0
TÃ¼rkiye,Ireland,55.26,314421.87,0.0
Thailand,Israel,1242360.92,2767336.38,44.9
India,Israel,621039.5,2767336.38,22.4
United States of America,Israel,414173.5,2767336.38,15.0
Spain,Israel,106010.65,2767336.38,3.8
Viet Nam,Israel,76411.32,2767336.38,2.8
TÃ¼rkiye,Israel,69848.57,2767336.38,2.5
Uruguay,Israel,68963.08,2767336.38,2.5
Italy,Israel,54178.53,2767336.38,2.0
Egypt,Israel,36382.44,2767336.38,1.3
Paraguay,Israel,26413.29,2767336.38,1.0
Portugal,Israel,27448.36,2767336.38,1.0
Greece,Israel,9839.369999999999,2767336.38,0.4
Argentina,Israel,5747.05,2767336.38,0.2
Russian Federation,Israel,6689.24,2767336.38,0.2
Bulgaria,Israel,735.4,2767336.38,0.0
France,Israel,1058.21,2767336.38,0.0
Kazakhstan,Israel,24.95,2767336.38,0.0
United Republic of Tanzania,Israel,12.0,2767336.38,0.0
Pakistan,Italy,876400.19,2551312.93,34.4
India,Italy,592416.43,2551312.93,23.2
Thailand,Italy,524805.16,2551312.93,20.6
France,Italy,119544.64,2551312.93,4.7
Spain,Italy,112352.54000000001,2551312.93,4.4
Guyana,Italy,84748.14,2551312.93,3.3
Viet Nam,Italy,72234.2,2551312.93,2.8
Greece,Italy,42131.75,2551312.93,1.7
Egypt,Italy,30297.0,2551312.93,1.2
United States of America,Italy,27095.55,2551312.93,1.1
Portugal,Italy,22241.32,2551312.93,0.9
Argentina,Italy,16588.35,2551312.93,0.7
Uruguay,Italy,11999.94,2551312.93,0.5
Bulgaria,Italy,8922.86,2551312.93,0.3
Paraguay,Italy,3852.58,2551312.93,0.2
Kazakhstan,Italy,1788.0,2551312.93,0.1
Suriname,Italy,3070.0,2551312.93,0.1
Italy,Italy,13.0,2551312.93,0.0
Niger,Italy,240.0,2551312.93,0.0
TÃ¼rkiye,Italy,542.28,2551312.93,0.0
United Republic of Tanzania,Italy,29.0,2551312.93,0.0
Guyana,Jamaica,948059.85,1392327.06,68.1
Suriname,Jamaica,196019.51,1392327.06,14.1
United States of America,Jamaica,175282.47,1392327.06,12.6
Thailand,Jamaica,32080.56,1392327.06,2.3
Pakistan,Jamaica,19319.94,1392327.06,1.4
India,Jamaica,16528.67,1392327.06,1.2
Uruguay,Jamaica,2263.0,1392327.06,0.2
Viet Nam,Jamaica,2440.11,1392327.06,0.2
Greece,Jamaica,1.8,1392327.06,0.0
Niger,Jamaica,181.0,1392327.06,0.0
Paraguay,Jamaica,150.0,1392327.06,0.0
Spain,Jamaica,0.15,1392327.06,0.0
United States of America,Japan,7705177.76,13108343.16,58.8
Thailand,Japan,5301008.46,13108343.16,40.4
Viet Nam,Japan,49178.86,13108343.16,0.4
Pakistan,Japan,26940.32,13108343.16,0.2
India,Japan,16352.65,13108343.16,0.1
Australia,Japan,101.0,13108343.16,0.0
Egypt,Japan,1380.0,13108343.16,0.0
France,Japan,15.89,13108343.16,0.0
Guyana,Japan,292.04,13108343.16,0.0
Italy,Japan,2364.69,13108343.16,0.0
Niger,Japan,10.0,13108343.16,0.0
Russian Federation,Japan,179.92000000000002,13108343.16,0.0
Spain,Japan,164.35,13108343.16,0.0
TÃ¼rkiye,Japan,107.16,13108343.16,0.0
United Republic of Tanzania,Japan,30.0,13108343.16,0.0
Uruguay,Japan,5040.06,13108343.16,0.0
United States of America,Jordan,1697410.87,4175754.32,40.6
India,Jordan,1154076.68,4175754.32,27.6
Egypt,Jordan,512624.56,4175754.32,12.3
Thailand,Jordan,279632.66,4175754.32,6.7
Portugal,Jordan,150844.02,4175754.32,3.6
Italy,Jordan,127285.38,4175754.32,3.0
Pakistan,Jordan,95807.39,4175754.32,2.3
Spain,Jordan,41490.130000000005,4175754.32,1.0
TÃ¼rkiye,Jordan,33157.55,4175754.32,0.8
Greece,Jordan,27300.66,4175754.32,0.7
Russian Federation,Jordan,18997.03,4175754.32,0.5
Viet Nam,Jordan,15463.2,4175754.32,0.4
Argentina,Jordan,7476.11,4175754.32,0.2
France,Jordan,6278.929999999999,4175754.32,0.2
Bulgaria,Jordan,2432.7200000000003,4175754.32,0.1
Uruguay,Jordan,5363.43,4175754.32,0.1
Guyana,Jordan,101.0,4175754.32,0.0
Paraguay,Jordan,12.0,4175754.32,0.0
Pakistan,Kazakhstan,1010799.54,1223309.68,82.6
Russian Federation,Kazakhstan,196231.05,1223309.68,16.0
India,Kazakhstan,8236.49,1223309.68,0.7
Thailand,Kazakhstan,2487.0,1223309.68,0.2
Egypt,Kazakhstan,1600.0,1223309.68,0.1
TÃ¼rkiye,Kazakhstan,919.0,1223309.68,0.1
United States of America,Kazakhstan,1769.0,1223309.68,0.1
Viet Nam,Kazakhstan,1095.9,1223309.68,0.1
France,Kazakhstan,0.36,1223309.68,0.0
Italy,Kazakhstan,168.16,1223309.68,0.0
Spain,Kazakhstan,3.1799999999999997,1223309.68,0.0
Pakistan,Kenya,7092440.03,10692423.65,66.3
India,Kenya,2112585.71,10692423.65,19.8
Thailand,Kenya,932829.77,10692423.65,8.7
United Republic of Tanzania,Kenya,309802.08999999997,10692423.65,2.9
Viet Nam,Kenya,131578.74,10692423.65,1.2
Egypt,Kenya,104498.0,10692423.65,1.0
United States of America,Kenya,6368.65,10692423.65,0.1
France,Kenya,2.29,10692423.65,0.0
Italy,Kenya,2257.2599999999998,10692423.65,0.0
Russian Federation,Kenya,46.33,10692423.65,0.0
Spain,Kenya,0.07,10692423.65,0.0
TÃ¼rkiye,Kenya,14.71,10692423.65,0.0
Thailand,Kiribati,25154.66,55843.19,45.0
Viet Nam,Kiribati,24130.61,55843.19,43.2
United States of America,Kiribati,4163.36,55843.19,7.5
Greece,Kiribati,1200.0,55843.19,2.1
Russian Federation,Kiribati,1033.0,55843.19,1.8
India,Kiribati,161.56,55843.19,0.3
India,Kuwait,4116811.54,4925846.56,83.6
Pakistan,Kuwait,531208.37,4925846.56,10.8
Thailand,Kuwait,159586.47,4925846.56,3.2
United States of America,Kuwait,40448.4,4925846.56,0.8
Egypt,Kuwait,33717.06,4925846.56,0.7
Viet Nam,Kuwait,32290.26,4925846.56,0.7
TÃ¼rkiye,Kuwait,3659.94,4925846.56,0.1
Uruguay,Kuwait,3108.0,4925846.56,0.1
Bulgaria,Kuwait,80.0,4925846.56,0.0
France,Kuwait,2.69,4925846.56,0.0
Greece,Kuwait,563.0,4925846.56,0.0
Italy,Kuwait,1301.03,4925846.56,0.0
Portugal,Kuwait,1349.39,4925846.56,0.0
Russian Federation,Kuwait,25.0,4925846.56,0.0
Spain,Kuwait,1665.41,4925846.56,0.0
United Republic of Tanzania,Kuwait,30.0,4925846.56,0.0
Russian Federation,Kyrgyzstan,43894.51,81983.6,53.5
Kazakhstan,Kyrgyzstan,30239.07,81983.6,36.9
India,Kyrgyzstan,3329.5699999999997,81983.6,4.1
United States of America,Kyrgyzstan,2721.2,81983.6,3.3
Pakistan,Kyrgyzstan,1019.0,81983.6,1.2
TÃ¼rkiye,Kyrgyzstan,464.44,81983.6,0.6
Thailand,Kyrgyzstan,315.81,81983.6,0.4
Thailand,Lao People's Democratic Republic,889392.24,1054363.53,84.4
Viet Nam,Lao People's Democratic Republic,143882.14,1054363.53,13.6
United States of America,Lao People's Democratic Republic,18032.38,1054363.53,1.7
India,Lao People's Democratic Republic,1052.0,1054363.53,0.1
Italy,Lao People's Democratic Republic,582.6,1054363.53,0.1
Pakistan,Lao People's Democratic Republic,1421.0,1054363.53,0.1
France,Lao People's Democratic Republic,1.17,1054363.53,0.0
India,Latvia,37017.07,122808.2,30.1
Pakistan,Latvia,23728.17,122808.2,19.3
Italy,Latvia,21909.64,122808.2,17.8
Thailand,Latvia,15869.94,122808.2,12.9
Greece,Latvia,9857.68,122808.2,8.0
Spain,Latvia,5820.7,122808.2,4.7
Egypt,Latvia,2792.0,122808.2,2.3
Viet Nam,Latvia,1990.6100000000001,122808.2,1.6
United States of America,Latvia,1001.48,122808.2,0.8
Portugal,Latvia,778.6,122808.2,0.6
Russian Federation,Latvia,698.39,122808.2,0.6
Kazakhstan,Latvia,330.0,122808.2,0.3
Argentina,Latvia,227.0,122808.2,0.2
France,Latvia,291.23,122808.2,0.2
Paraguay,Latvia,293.6,122808.2,0.2
Bulgaria,Latvia,175.48,122808.2,0.1
TÃ¼rkiye,Latvia,2.61,122808.2,0.0
Uruguay,Latvia,24.0,122808.2,0.0
Thailand,Lebanon,270622.56,1303923.32,20.8
Italy,Lebanon,263284.03,1303923.32,20.2
Egypt,Lebanon,208110.42,1303923.32,16.0
